frac,rIn,rOut,rMid,Pmin_W_per_m,t50,t90,t99,t999,dutyCycle,converged
0.1500,0.016795,0.018295,0.017545,0.0000,5006.0000,10100.0000,11462.0000,11630.0000,0.0206,1
0.2000,0.018410,0.019910,0.019160,118.7500,4962.0000,10092.0000,11460.0000,11630.0000,0.0260,1
0.2500,0.020025,0.021525,0.020775,168.7500,4870.0000,10032.0000,11406.0000,11576.0000,0.0325,1
0.3000,0.021640,0.023140,0.022390,193.7500,4728.0000,9920.0000,11298.0000,11468.0000,0.0399,1
0.3500,0.023255,0.024755,0.024005,218.7500,4520.0000,9736.0000,11118.0000,11290.0000,0.0471,1
0.4000,0.024870,0.026370,0.025620,243.7500,4248.0000,9484.0000,10872.0000,11042.0000,0.0542,1
0.4500,0.026485,0.027985,0.027235,268.7500,3926.0000,9182.0000,10572.0000,10744.0000,0.0607,1
0.5000,0.028100,0.029600,0.028850,290.6250,3586.0000,8862.0000,10254.0000,10426.0000,0.0666,1
0.5500,0.029715,0.031215,0.030465,312.5000,3234.0000,8536.0000,9932.0000,10106.0000,0.0710,1
0.6000,0.031330,0.032830,0.032080,331.2500,2828.0000,8210.0000,9608.0000,9782.0000,0.0752,1
0.6500,0.032945,0.034445,0.033695,350.0000,2642.0000,7866.0000,9272.0000,9446.0000,0.0792,1
0.7000,0.034560,0.036060,0.035310,368.7500,2558.0000,7506.0000,8922.0000,9096.0000,0.0831,1
0.7500,0.036175,0.037675,0.036925,381.2500,2496.0000,7142.0000,8578.0000,8754.0000,0.0880,1
0.7700,0.036821,0.038321,0.037571,400.0000,2492.0000,7068.0000,8524.0000,8702.0000,0.0855,1
0.7900,0.037467,0.038967,0.038217,400.0000,2478.0000,6940.0000,8414.0000,8594.0000,0.0875,1
0.8000,0.037790,0.039290,0.038540,387.5000,2456.0000,6822.0000,8300.0000,8480.0000,0.0920,1
0.8100,0.038113,0.039613,0.038863,400.0000,2470.0000,6818.0000,8316.0000,8498.0000,0.0892,1
0.8300,0.038759,0.040259,0.039509,375.0000,2472.0000,6766.0000,8284.0000,8468.0000,0.0947,1
0.8500,0.039405,0.040905,0.040155,375.0000,2462.0000,6692.0000,8220.0000,8404.0000,0.0942,1
0.8500,0.039405,0.040905,0.040155,375.0000,2462.0000,6692.0000,8220.0000,8404.0000,0.0942,1
0.8700,0.040051,0.041551,0.040801,362.5000,2508.0000,6794.0000,8334.0000,8522.0000,0.0939,1
0.8900,0.040697,0.042197,0.041447,356.2500,2568.0000,6908.0000,8442.0000,8630.0000,0.0908,1
0.9000,0.041020,0.042520,0.041770,356.2500,2598.0000,6930.0000,8446.0000,8634.0000,0.0887,1
0.9100,0.041343,0.042843,0.042093,343.7500,2676.0000,7050.0000,8568.0000,8760.0000,0.0888,1
0.9300,0.041989,0.043489,0.042739,337.5000,2824.0000,7190.0000,8696.0000,8888.0000,0.0853,1
